"S.","Title","Location","Date","Area","Incident.Area","Open.Close.Location","Target","Cause","Summary","Shooter.status","No..of.shooter.suspect","Fatalities","Injured","Total.victims","Policeman.Killed","Age","Employeed..Y.N.","Employed.at","Mental.Health.Issues","Race","Gender","Latitude","Longitude","Month","Year","Day","MJ.Summary","Prior.MH","MH.Details","Legal.Weapons","Obtained.Where","Weapon.Type","Weapon.Details","Main.Source","MH.Source","Extra.Source","Shooting.Type","State"
11,"Post office in Edmond, Oklahoma","Edmond, Oklahoma","08/20/86","Current Workplace","Edmond, Oklahoma","Close","Coworkers","Unknown","On August 20, 1986, a 44-year-old postal worker in Edmond, Oklahoma opened fire on his supervisors and coworkers at the post office in which he worked. He killed fourteen postal employees and wounded six others before committing suicide.","committed suicide","one",14,6,20,0,"44",1,"Post Office","Yes","White, White American or European American","Male",35.66889223,-97.41438792,8,1986,20,"Postal worker Patrick Sherrill, 44, opened fire at a post office before committing suicide.","Unclear ","He was worried he had inherited mental problems and rebuffed a pastor's suggestion he seek psychiatric counseling. His family members denied he had a history of mental illness.","Yes","Issued by Oklahoma National Guard, where Sherrill served, for target competition  ","Three semiautomatic handguns",".22-caliber, two .45-caliber Colt Model 1911-A1 semiautomatic handguns","http://news.google.com/newspapers?id=dm8aAAAAIBAJ&sjid=pyoEAAAAIBAJ&pg=2297,4870051&dq=patrick+sherrill&hl=en","http://newsok.com/sherrill-feared-mental-illness-rejected/article/2177416","http://news.google.com/newspapers?id=dm8aAAAAIBAJ&sjid=pyoEAAAAIBAJ&pg=2297,4870051&dq=patrick+sherrill&hl=en","Mass","Oklahoma"
12,"Binghamton shootings","Binghamton, New York","04/03/09","Civic Association Centre","American Civic Association Centre","Close","random","Terrorism","Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide. / On April 3, 2009, a 41-year old unemployed man entered an immigration services center in Binghamton, New York, where he previously took classes. He shot and killed thirteen people in the building and injured four others before he committed suicide.","committed suicide","one",14,4,18,0,"41",-999,"-999","Yes","Asian or Asian American","Male",42.0986867,-75.9179738,4,2009,3,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide.","Yes","He apparently harbored growing paranoia toward cops. He also sent a delusional letter to a local TV station right before the shooting.","Yes","Gander Mountain in Johnson City, N.Y.","Two semiautomatic handguns","9mm Beretta, .45-caliber Springfield semiautomatic handguns","http://www.nytimes.com/2009/04/12/nyregion/12binghamton.html?pagewanted=all&_r=0; http://www.nytimes.com/2009/04/04/nyregion/04hostage.html?pagewanted=all","http://www.nytimes.com/2009/04/12/nyregion/12binghamton.html?pagewanted=all&_r=1&","http://www.nytimes.com/2009/04/12/nyregion/12binghamton.html?pagewanted=all&_r=0; http://www.nytimes.com/2009/04/04/nyregion/04hostage.html?pagewanted=all","Mass","New York"
13,"San Bernardino mass shooting","San Bernardino, California","12/02/15","Public area","Christmas Party/conference room","Close","party guests","Terrorism","Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.
On Wednesday of December 2, 2015, two gunmen entered a conference room on the Inland Regional Center property, killing 14 people, and injuring 21 people. The facility was rented by the San Bernardino County Department of Public Health for a holiday party. The shooter was at the party but left abruptly before the shooting. He seemed angry, witnesses told police. He returned and along with his wife, he went into the building and began firing. The man was an inspector with the county health department that hosted the party. ","-999","two",14,21,35,0,"-999",1,"county health department","-999","Other","Male and Female",34.075961,-117.27789,12,2015,2,"Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.","Unclear","Unclear","
Yes","The suspects purchased their handguns in the United States; the assault rifles were purchased by a third party.","Two assault rifles and two semi-automatic pistols were used in the attack. Police found a remote controlled explosive device at the scene of the crime. At the home were 12 pipe bombs, 2,500 rounds for the AR-15 variants, 2,000 rounds for the pistols, and several hundred for a .22 calibre rifle. In the suspects' car were an additional 1,400 rounds for the rifles and 200 for the handguns.","Two semiautomatic AR-15-style rifles—one a DPMS A-15, the other a Smith & Wesson M&P15, both with .223 calibre ammunition. Two 9mm semiautomatic handguns. High capacity magazines.","http://www.motherjones.com/mojo/2015/12/san-bernardino-shooting and  http://www.cnbc.com/2015/12/03/san-bernardino-shooting-suspects-rizwan-farook-tashfeen-malik-dead.html and http://www.nytimes.com/2015/12/04/us/san-bernardino-shooting.html and http://www.nytimes.com/2015/12/04/us/weapons-in-san-bernardino-shootings-were-legally-obtained.html?_r=0","-","http://www.motherjones.com/mojo/2015/12/san-bernardino-shooting and  http://www.cnbc.com/2015/12/03/san-bernardino-shooting-suspects-rizwan-farook-tashfeen-malik-dead.html and http://www.nytimes.com/2015/12/04/us/san-bernardino-shooting.html and http://www.nytimes.com/2015/12/04/us/weapons-in-san-bernardino-shootings-were-legally-obtained.html?_r=0","Mass","California"
14,"Wah Mee Club in Seattle","Seattle, Washington","02/18/83","Bar, Club","Wah Mee Gambling Club","Close","random","Terrorism","On February 18, 1983, three man between the ages of 22 and 24 entered the Wah Mee gambling club in Seattle, Washington, shooting fourteen people. Thirteen victims lost their lives, but one survived to testify.","-999","group",13,1,14,0,"23",-999,"-999","-999","Asian or Asian American","Male",47.62199575,-122.323646,2,1983,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Washington"
15,"Columbine High School massacre","Littleton, Colorado","04/20/99","School","Columbine High School","-999","Students+Teachers","Terrorism","On April 20, 1999, two students ages 17 (Dylan Klebold) and 18 (Eric Harris) arrived on their campus at Columbine High School in Littleton, Colorado, planning to kill hundreds of their peers and teachers. After two large propane tank bombs failed to explode, the students began shooting at their classmates, killing twelve and a teacher and wounding twenty-four others. The incident ended when the students killed themselves simultaneously in the library.","committed suicide","two",13,24,37,0,"17",-999,"-999","Yes","White, White American or European American","Male",39.59358263,-105.0152112,4,1999,20,"Eric Harris, 18, and Dylan Klebold, 17, opened fire throughout Columbine High School before committing suicide.","Yes","Harris was an alleged psychopath; Klebold was depressed and suicidal.","No","Purchased variously at Tanner Gun Show in Denver, Colo. and from an individual","One semiautomatic handgun (assault), one rifle (assault), two shotguns","9mm Intratec DC-9 semiautomatic handgun; 9mm Hi-Point 995 carbine rifle; 12-gauge sawed-off Savage Stevens 311D, 12-gauge sawed-off Savage Springfield 67H pump-action shotguns","http://www.usatoday.com/news/nation/2009-04-13-columbine-myths_N.htm; http://www.vpc.org/studies/wgun990420.htm; http://www.slate.com/articles/news_and_politics/assessment/2004/04/the_depressive_and_the_psychopath.html","http://www.slate.com/articles/news_and_politics/assessment/2004/04/the_depressive_and_the_psychopath.html","http://www.usatoday.com/news/nation/2009-04-13-columbine-myths_N.htm; http://www.vpc.org/studies/wgun990420.htm; http://www.slate.com/articles/news_and_politics/assessment/2004/04/the_depressive_and_the_psychopath.html","Mass","Colorado"
16,"Fort Hood Army Base","Fort Hood, Texas","11/05/09","Army area","Fort Hood Army Post","Close","random","Terrorism","On November 5, 2009, a 39-year old (Nidal Malik Hasan) U.S. Army psychiatrist fatally shot thirteen people and injured thirty-two at Fort Hood Army Base located in Killeen, Texas. He was shot and wounded by another soldier and arrested as he fell unconscious.","arrested","one",13,32,45,0,"39",1,"U.S Army","Yes","White, White American or European American","Male",31.13814354,-97.77797804,11,2009,5,"Army psychiatrist Nidal Malik Hasan, 39, opened fire on an Army base in an attack linked to Islamist extremism. Hasan was injured during the attack and later arrested.","Unclear","Medical officials at Walter Reed Army Medical Center and the Uniformed Services University of the Health Sciences raised concerns prior to the shooting regarding Hasan's aloof and erratic behavior and extremist Islamic views.","Yes","Guns Galore in Kileen, Texas","One semiautomatic handgun","FN Five-seven semiautomatic handgun","http://seattletimes.com/html/nationworld/2010232219_apusforthoodshooting.html; http://articles.latimes.com/2010/oct/21/nation/la-na-fort-hood-20101022; http://thelede.blogs.nytimes.com/2009/11/05/reports-of-mass-shooting-at-fort-hood/; http://www.usatoday.com/news/military/story/2012-08-14/fort-hood-rampage-trial/57050394/1","http://www.npr.org/templates/story/story.php?storyId=120313570","http://seattletimes.com/html/nationworld/2010232219_apusforthoodshooting.html; http://articles.latimes.com/2010/oct/21/nation/la-na-fort-hood-20101022; http://thelede.blogs.nytimes.com/2009/11/05/reports-of-mass-shooting-at-fort-hood/; http://www.usatoday.com/news/military/story/2012-08-14/fort-hood-rampage-trial/57050394/1","Mass","Texas"
17,"Aurora theater shooting","Aurora, Colorado","07/20/12","Movie Theatre","Movie Theatre","Close","random","Terrorism","James Holmes, 24, opened fire in a movie theater during the opening night of ""The Dark Night Rises"" and was later arrested outside. /On July 20, 2012, a 24-year old student set off several gas or smoke canisters at a movie theater in Aurora, and then opened fire on the theater audience, killing twelve people and wounding fifty-eight. Moments after the shooting, police arrested the shooter next to his car behind the theater. Once apprehended, the shooter told the police that he had booby-trapped his apartment with explosive devices before heading to the theater.","arrested","one",12,70,82,0,"24",-999,"-999","Yes","White, White American or European American","Male",39.709283,-104.823488,7,2012,20,"James Holmes, 24, opened fire in a movie theater during the opening night of ""The Dark Night Rises"" and was later arrested outside.","Yes","He saw at least three mental health professionals before dropping out of his university.","Yes","Gander Mountain stores in Thornton and Aurora, Colo.; Bass Pro Shop in Denver, Colo.; BulkAmmo.com","Two semiautomatic handguns, one rifle (assault), one shotgun","Two .40-caliber Glock semiautomatic handguns; .223-caliber Smith & Wesson M&P15 semiautomatic rifle; 12-gauge Remington 870 pump-action shotgun","http://www.cbsnews.com/8301-201_162-57497820/james-holmes-saw-three-mental-health-professionals-before-shooting/; http://www.9news.com/news/article/283503/188/Aurora-shooting-prompts-gun-bills-in-big-states-; http://www.nytimes.com/2012/07/21/us/shooting-at-colorado-theater-showing-batman-movie.html; http://www.motherjones.com/politics/2012/07/batman-theater-shooting-updates-dark-knight-rises","http://www.cbsnews.com/8301-201_162-57497820/james-holmes-saw-three-mental-health-professionals-before-shooting/","http://www.cbsnews.com/8301-201_162-57497820/james-holmes-saw-three-mental-health-professionals-before-shooting/; http://www.9news.com/news/article/283503/188/Aurora-shooting-prompts-gun-bills-in-big-states-; http://www.nytimes.com/2012/07/21/us/shooting-at-colorado-theater-showing-batman-movie.html; http://www.motherjones.com/politics/2012/07/batman-theater-shooting-updates-dark-knight-rises","Spree","Colorado"
18,"Washington Navy Yard","Washington D.C.","09/16/13","Navy area","Military","Close","random","Terrorism","On September 16, 2013, Aaron Alexis, a 34-yearl old contractor for the Navy Yard in Washington D.C, entered the building shooting randomly, killing twelve people and injuring three surviving victims before he was shot and killed by law enforcement officers.  Five other people were injured during the incident while trying to escape. /Aaron Alexis, 34, a military veteran and contractor from Texas, opened fire in the Navy installation, killing 12 people and wounding 8 before being shot dead by police.","killed","one",12,8,20,0,"34",1,"Navy Yard","Yes","Black, Black American or African American","Male",38.90480894,-77.01629717,9,2013,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Washington"
19,"Thousand Oaks nightclub shooting","Thousand Oaks, California","11/07/18","Bar, Club","Other","-999","-999","Unknown","Ian David Long, 28, dressed in black and armed with a handgun and a â€œsmoke device,â€ approached the Borderline Bar & Grill â€” a country music venue popular with college students â€” close to midnight and opened fire, killing a security guard and then others in the club, including a sheriffâ€™s deputy responding to the attack. Long was found dead at the scene from apparent suicide. He was a former Marine and had a history of interactions with local law enforcement, including a mental health evaluation in which heâ€™d been cleared.","committed suicide","one",12,22,34,-999,"28",-999,"-999","Yes","-999","Male",34.176946,-118.874793,11,2018,7,"Ian David Long, 28, dressed in black and armed with a handgun and a “smoke device,” approached the Borderline Bar & Grill — a country music venue popular with college students — close to midnight and opened fire, killing a security guard and then others in the club, including a sheriff’s deputy responding to the attack. Long was found dead at the scene from apparent suicide. He was a former Marine and had a history of interactions with local law enforcement, including a mental health evaluation in which he’d been cleared.","Yes","Per the LATimes: ""Sheriff Geoff Dean said his department had had several interactions with Long, including a call to his home in April for a complaint of disturbing the peace. Deputies at the time said Long was irate and acting irrationally, Dean said. They called in mental health professionals to evaluate him, and they concluded he did not need to be taken into custody.""","Yes","A gun store in Simi Valley","semiautomatic handgun","Glock 21, .45 caliber; high-capacity magazine","http://www.latimes.com/local/lanow/la-me-ln-thousand-oaks-20181107-story.html; https://www.washingtonpost.com/nation/2018/11/08/multiple-injuries-reported-bar-shooting-thousand-oaks-calif/; https://www.nytimes.com/2018/11/08/us/shooting-california-thousand-oaks.html; https://www.nytimes.com/2018/11/08/us/ian-david-long-california-shooter.html; https://www.wsj.com/articles/multiple-injuries-reported-in-bar-shooting-in-thousand-oaks-california-1541666907","http://www.latimes.com/local/lanow/la-me-ln-thousand-oaks-20181107-story.html","-","Mass","California"
20,"Virginia Beach municipal building shooting","Virginia Beach, Virginia","05/31/19","Workplace","Workplace","-999","-999","Unknown","DeWayne Craddock, 40, a municipal city worker wielding handguns, a suppressor and high-capacity magazines, killed en masse inside a Virginia Beach muncipal building late in the day on a Friday, before dying in a prolonged gun battle with police. Craddock reportedly had submitted his resignation from his job that morning. He was a veteran of the Virginia Army National Guard, and ""had a shaved head, bodybuilderâ€™s physique and cameras in the windows of his house on a peaceful cul-de-sac,"" according to the Washington Post.","arrested","one",12,4,16,-999,"40",-999,"-999","-999","Black, Black American or African American","Male",36.75442,-76.060378,5,2019,31,"DeWayne Craddock, 40, a municipal city worker wielding handguns, a suppressor and high-capacity magazines, killed en masse inside a Virginia Beach muncipal building late in the day on a Friday, before dying in a prolonged gun battle with police. Craddock reportedly had submitted his resignation from his job that morning. He was a veteran of the Virginia Army National Guard, and ""had a shaved head, bodybuilder’s physique and cameras in the windows of his house on a peaceful cul-de-sac,"" according to the Washington Post.","TBD","-","Yes","-","2 handguns",".45-caliber handguns; noise suppressor (silencer); several high-capacity magazines","https://www.washingtonpost.com/local/public-safety/virginia-beach-officials-expect-to-release-additional-details-of-mass-shooting/2019/06/02/a001b856-852f-11e9-a870-b9c411dc4312_story.html; https://pilotonline.com/news/local/virginia-beach-mass-shooting/article_e15ea290-853f-11e9-aa50-93751bba3c3b.html; https://pilotonline.com/news/local/virginia-beach-mass-shooting/article_c8353020-84a1-11e9-aa12-d3bf967368c4.html; https://www.npr.org/2019/06/04/729413913/do-extended-magazines-facilitate-mass-shootings; https://www.nbcnews.com/news/us-news/virginia-beach-shooter-killed-12-using-silencer-high-capacity-magazine-n1012771","-","-","Mass","Virginia"
