S#,Title,Location,Date,Area,Incident Area,Open/Close Location,Target,Cause,Summary,Shooter status,No. of shooter/suspect,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
13,San Bernardino mass shooting,"San Bernardino, California",12/02/15,Public area,Christmas Party/conference room,Close,party guests,terrorism,"Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.
On Wednesday of December 2, 2015, two gunmen entered a conference room on the Inland Regional Center property, killing 14 people, and injuring 21 people. The facility was rented by the San Bernardino County Department of Public Health for a holiday party. The shooter was at the party but left abruptly before the shooting. He seemed angry, witnesses told police. He returned and along with his wife, he went into the building and began firing. The man was an inspector with the county health department that hosted the party. ",-999,two,14,21,35,0,-999,1,county health department,-999,Other,Male and Female,34.075961,-117.27789
14,Wah Mee Club in Seattle,"Seattle, Washington",02/18/83,"Bar, Club",Wah Mee Gambling Club,Close,random,terrorism,"On February 18, 1983, three man between the ages of 22 and 24 entered the Wah Mee gambling club in Seattle, Washington, shooting fourteen people. Thirteen victims lost their lives, but one survived to testify.",-999,group,13,1,14,0,23,-999,-999,-999,Asian or Asian American,Male,47.62199575,-122.323646
15,Columbine High School massacre,"Littleton, Colorado",04/20/99,School,Columbine High School,-999,Students+Teachers,terrorism,"On April 20, 1999, two students ages 17 (Dylan Klebold) and 18 (Eric Harris) arrived on their campus at Columbine High School in Littleton, Colorado, planning to kill hundreds of their peers and teachers. After two large propane tank bombs failed to explode, the students began shooting at their classmates, killing twelve and a teacher and wounding twenty-four others. The incident ended when the students killed themselves simultaneously in the library.",committed suicide,two,13,24,37,0,17,-999,-999,Yes,"White, White American or European American",Male,39.59358263,-105.0152112
16,Fort Hood Army Base,"Fort Hood, Texas",11/05/09,Army area,Fort Hood Army Post,Close,random,terrorism,"On November 5, 2009, a 39-year old (Nidal Malik Hasan) U.S. Army psychiatrist fatally shot thirteen people and injured thirty-two at Fort Hood Army Base located in Killeen, Texas. He was shot and wounded by another soldier and arrested as he fell unconscious.",arrested,one,13,32,45,0,39,1,U.S Army,Yes,"White, White American or European American",Male,31.13814354,-97.77797804
17,Aurora theater shooting,"Aurora, Colorado",07/20/12,Movie Theatre,Movie Theatre,Close,random,terrorism,"James Holmes, 24, opened fire in a movie theater during the opening night of ""The Dark Night Rises"" and was later arrested outside. /On July 20, 2012, a 24-year old student set off several gas or smoke canisters at a movie theater in Aurora, and then opened fire on the theater audience, killing twelve people and wounding fifty-eight. Moments after the shooting, police arrested the shooter next to his car behind the theater. Once apprehended, the shooter told the police that he had booby-trapped his apartment with explosive devices before heading to the theater.",arrested,one,12,70,82,0,24,-999,-999,Yes,"White, White American or European American",Male,39.709283,-104.823488
18,Washington Navy Yard,Washington D.C.,09/16/13,Navy area,Military,Close,random,terrorism,"On September 16, 2013, Aaron Alexis, a 34-yearl old contractor for the Navy Yard in Washington D.C, entered the building shooting randomly, killing twelve people and injuring three surviving victims before he was shot and killed by law enforcement officers.  Five other people were injured during the incident while trying to escape. /Aaron Alexis, 34, a military veteran and contractor from Texas, opened fire in the Navy installation, killing 12 people and wounding 8 before being shot dead by police.",killed,one,12,8,20,0,34,1,Navy Yard,Yes,"Black, Black American or African American",Male,38.90480894,-77.01629717
19,Thousand Oaks nightclub shooting,"Thousand Oaks, California",11/07/18,"Bar, Club",Other,-999,-999,-999,"Ian David Long, 28, dressed in black and armed with a handgun and a â€œsmoke device,â€ approached the Borderline Bar & Grill â€” a country music venue popular with college students â€” close to midnight and opened fire, killing a security guard and then others in the club, including a sheriffâ€™s deputy responding to the attack. Long was found dead at the scene from apparent suicide. He was a former Marine and had a history of interactions with local law enforcement, including a mental health evaluation in which heâ€™d been cleared.",committed suicide,one,12,22,34,-999,28,-999,-999,Yes,-999,Male,34.176946,-118.874793
20,Virginia Beach municipal building shooting,"Virginia Beach, Virginia",05/31/19,Workplace,Workplace,-999,-999,-999,"DeWayne Craddock, 40, a municipal city worker wielding handguns, a suppressor and high-capacity magazines, killed en masse inside a Virginia Beach muncipal building late in the day on a Friday, before dying in a prolonged gun battle with police. Craddock reportedly had submitted his resignation from his job that morning. He was a veteran of the Virginia Army National Guard, and ""had a shaved head, bodybuilderâ€™s physique and cameras in the windows of his house on a peaceful cul-de-sac,"" according to the Washington Post.",arrested,one,12,4,16,-999,40,-999,-999,-999,"Black, Black American or African American",Male,36.75442,-76.060378
21,GMAC Loan Office,"Jacksonville, Florida",06/17/90,Public area,Other than workplace,-999,random,psycho,"After fatally shooting a man and woman and wounding two teenage boys, the 42-year-old gunman, James Edward Pough, robbed a convenience store at gunpoint on June 17, 1990. The next day, the shooter opened fire at the General Motors Acceptance Corporation car loan office in Jacksonville, Florida, killing seven employees and a customer and injuring four others before turning the gun on himself.",committed suicide,one,11,6,17,0,42,-999,-999,No,"Black, Black American or African American",Male,30.33216122,-81.67576993
22,Tree of Life synagogue shooting,"Pittsburgh, Pennsylvania",10/27/18,Public area,Religious,-999,-999,-999,"Robert D. Bowers, 46, shouted anti-Semitic slurs as he opened fire inside the Tree of Life synagogue during Saturday morning worship. He was armed with an assault rifle and multiple handguns and was apprehended after a standoff with police. His social media accounts contained virulent anti-Semitic content, and references to migrant caravan ""invaders"" hyped by President Trump and the Republican party ahead of the 2018 midterms elections.",arrested,one,11,6,17,-999,46,-999,-999,-999,"White, White American or European American",Male,40.443898,-79.921398
23,"Geneva County, Alabama","Geneva, Alabama",03/10/09,Home,-999,Open+Close,random,psycho,"On March 10, 2009, a 28-year-old grocery worker in Geneva County, Alabama went to his mother's home to kill her and her three dogs before setting the house on fire. He then went to his uncle's house, killing him, two of his cousins, two neighbors and wounded an aunt and an infant neighbor. He then went next-door and killed his grandmother before fleeing the scene. He killed three passers by and shot at anyone trying to flee or stop him. In total, ten were killed and six were wounded. He committed suicide as police attempted to detain him.",committed suicide,one,10,6,16,0,28,-999,-999,No,"White, White American or European American",Male,31.04367594,-85.8763466
24,Santa Fe High School shooting,"Santa Fe, Texas",05/18/18,School,School,-999,-999,-999,"Dimitrios Pagourtzis, a 17-year-old student, opened fire at Santa Fe High School with a shotgun and .38 revolver owned by his father; Pagourtzis killed 10 and injured at least 13 others before surrendering to authorities after a standoff and additional gunfire inside the school. (Pagourtzis reportedly had intended to commit suicide.) Investigators also found undetonated explosive devices in the vicinity. (FURTHER DETAILS PENDING.)",arrested,one,10,13,23,-999,17,-999,-999,-999,"White, White American or European American",Male,29.392825,-95.141972
25,New Orleans Police Shootings,"New Orleans, Louisiana",12/31/72,Public area,-999,-999,random,psycho,"On New Year's Eve in 1972, a 23-year-old ex-Navy dental technician went to the central lockup New Orleans Police Department and shot four policeman that day.  Seven days later on January 7, 1973, the shooter shot a grocer and entered the Downtown Howard Johnson Hotel where he shot seventeen people before killed him at the top of the hotel roof.",committed suicide,one,9,13,22,4,23,-999,-999,Yes,"Black, Black American or African American",Male,30.0687242,-89.93147412
26,Welding shop in Miami,"Miami, Florida",08/20/82,Shop/store,-999,Close,welding shop employees,psycho,"On August 20, 1982, Junior high school teacher Carl Robert Brown, a 51-year-old teacher on psychiatric leave opened fire inside a welding shop in Miami, Florida killing eight employees and wounding another three. The shooter was later shot and run down by two witnesses while he was cycling away from the crime scene.",arrested,one,9,2,11,0,51,-999,-999,Yes,"White, White American or European American",Male,25.79653943,-80.20840397
27,Wat Promkunaram Buddhist Temple,"Phoenix, Arizona",08/09/91,Temple,Buddhist Monastery,Close,monks,robbery,"On the evening on August 9, 1991, two high school students in the Air Force ROTC program entered a Buddhist monastery intending to steal cameras, golden religious paraphernalia and cash from the monks. After looting the monastery and holding the monks hostage, the boys decided to shoot and kill all nine occupants of the house to leave no witnesses of their crime.",-999,two,9,0,9,0,-999,-999,-999,No,Asian or Asian American,Male,33.57145875,-112.0904854
28,Offices of All-Tech Investment Group and Momentum Securities,"Atlanta, Georgia",07/29/99,Home + Workplace,Home+Stock Exchange Office,Close,random,psycho,"On July 29, 1999, after murdering his wife and children in their home in Atlanta, Georgia over the prior two days, a 44-year-old day trader entered a stock exchange office, killing four and moving on to another office, where he killed an additional five and wounded twelve. He was pursued by police until he committed suicide at a gas station. /Day trader Mark O. Barton, 44, who had recently lost a substantial sum of money, went on a shooting spree through two day-trading firms. He started at the All-Tech Investment Group, where he worked, then went on to Momentum Securities. He fled and hours later, after being cornered by police outside a gas station, committed suicide. (Two days before the spree, he killed his wife and two children with a hammer.)",committed suicide,one,9,12,21,0,44,-999,-999,Yes,"White, White American or European American",Male,33.7629969,-84.4231328
29,Red Lake High School,"Red Lake, Minnesota",03/21/05,Home + School,Home+School,Close,random,psycho,"On March 21, 2005, after killing his grandfather and his grandfather's girlfriend in their home, a 16-year-old Jeffrey Weise student of Red Lake High School in Red Lake, Minnesota arrived on campus and began shooting at his classmates and teachers. He killed five students, a teacher, a security guard and wounded five others before committing suicide.",committed suicide,one,9,5,14,0,16,-999,-999,Yes,Native American or Alaska Native,Male,47.87067289,-95.00529009
30,Westroads Mall shooting,"Omaha, Nebraska",12/05/07,Shop/store,Shopping Mall,Close,random,terrorism,"Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide.",committed suicide,one,9,4,13,0,19,-999,-999,Yes,"White, White American or European American",Male,41.2587317,-95.9378732
31,"Covina, California","Covina, California",12/24/08,Home,Home,Close,Family,psycho,"On December 24, 2008, a 45-year-old man entered his brother's residence in Covina, California while dressed in a Santa Claus costume. He then opened fire on his family and ex-wife, killing several before setting the house ablaze. He committed suicide with a gunshot wound to the head. Nine victims died in the incident and two of the wounded escaped the fire.",committed suicide,one,9,2,11,0,45,-999,-999,No,"White, White American or European American",Male,34.09026669,-117.8819958
32,Hartford Beer Distributor shooting,"Manchester, Connecticut",08/03/10,Current Workplace,Workplace,Close,-999,frustration,"Omar S. Thornton, 34, shot up his Hartford Beer Distributor workplace after facing disciplinary issues, then committed suicide.",committed suicide,one,9,2,11,0,34,-999,-999,No,"Black, Black American or African American",Male,41.7759324,-72.5214755
33,Mother Emanuel AME Church,"Charleston, South Carolina",06/17/15,Church,Church,Close,random,terrorism,"Dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been â€œplanning something like that for six months.""",-999,one,9,1,10,0,21,-999,-999,-999,"White, White American or European American",Male,32.788387,-79.933143
34,Umpqua Community College,"Roseburg, Oregon",10/01/15,School,Community College Classroom,Close,Students,terrorism,"On Monday of October 1, 2015, a gunman opened fire at a rural Oregon community college Thursday. 9 people were dead and seven wounded, three critically, before dying in a shootout with police. First, a shot came through the window and hit the teacher in the head  in a freshman writing class. The gunman then entered the Snyder Hall classroom and told people to get on the floor. He told people to stand up and state their religion before opening fire. /  26-year-old Chris Harper Mercer opened fire at Umpqua Community College in southwest Oregon. The gunman shot himself to death after being wounded in a shootout with police.",committed suicide,one,9,7,16,0,26,-999,-999,-999,Other,Male,43.22205555,-123.3522367
35,Dayton entertainment district shooting,"Dayton, Ohio",08/04/19,Public area,Other,-999,-999,-999,"Connor Betts, 24, died during the attack, following a swift police response. He wore tactical gear including body armor and hearing protection, and had an ammunition device capable of holding 100 rounds. Betts had a history of threatening behavior dating back to high school, including reportedly having hit lists targeting classmates for rape and murder.",arrested,one,9,27,36,-999,24,-999,-999,-999,"White, White American or European American",Male,39.757312,-84.184947
36,Standard Gravure Corporation,"Louisville, Kentucky",09/14/89,Former Workplace,Standard Gravure printing company,Close,Ex-Coworkers,frustration,"On September 14. 1989, Joseph T. Wesbecker a 47-year-old man, disgruntled by his work situation and suffering from mental illness, entered the Standard Gravure printing company in Louisville, Kentucky, his former workplace, and began shooting. The incident ended with eight fatalities and twelve gun injuries before the shooter ending his own life with a bullet.",committed suicide,one,8,12,20,0,47,-999,-999,Yes,"White, White American or European American",Male,38.249432,-85.726243
37,Offices of Pettit & Martin in San Francisco,"San Francisco, California",07/01/93,Workplace,law firm,Close,lawyers,frustration,"On July 1, 1993, a 55-year-old failing entrepreneur entered the law offices of Pettit & Martin in the financial district of San Francisco, California. He then opened fire on the office, killing eight and wounding six others before turning the gun on himself. He had apparently targeted the law firm due to his deep hatred for lawyers arising from his failed business endeavors and a real estate consultation with the firm years before.",committed suicide,one,8,6,14,0,55,-999,-999,No,"White, White American or European American",Male,37.75457839,-122.4424343
38,Pinelake Health and Rehab nursing home,"Carthage, North Carolina",03/29/09,Nursing Home,Nursing Home,Close,Ex-Wife,psycho,"On March 29, 2009, a 45-year old man opened fire at the Pinelake Health and Rehab nursing home in Carthage, North Carolina, where his estranged wife worked. The shooter killed eight people and wounded another two before being shot and arrested by a police officer. His ex-wife, the apparent main target, survived the shooting unharmed by hiding in the Alzheimer ward of the building, which was secured by passcode-protected doors. /Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer.",arrested,one,8,2,10,0,45,-999,-999,Yes,"White, White American or European American",Male,35.33985609,-79.41381725
39,Salon Meritage,"Seal Beach, California",10/12/11,"Salon, Spa",Hair Salon,Open+Close,Ex-Wife,anger,"On October 12, 2011, a 41-year old allegedly opened fire at a hair salon in Seal Beach, California, where his former wife worked. Eight people inside the salon and one person in the parking lot were shot, and only one victim survived. The shooter was later arrested about half a mile away from the salon. He argued earlier that day over the phone with his ex-wife over a custody dispute regarding their 8-year old son. / Scott Evans Dekraai, 42, opened fire inside a hair salon and was later arrested. Victims killed in the attack included his ex-wife, who Dekraai had a history of violently abusing, according to court records. The two had also been involved in a bitter custody battle.",arrested,one,8,1,9,0,41,-999,-999,Yes,"White, White American or European American",Male,33.75432632,-118.0715378
40,"Houston, Texas","Houston, Texas",08/08/15,Home,Home,Close,Ex-Girlfriend,revenge,A family of six children and two parents were handcuffed and fatally shot in the head at a Houston home by a man with a violent criminal history who had previously been in a relationship with the mother and had a dispute with her.,committed suicide,one,8,0,8,0,-999,-999,-999,-999,"Black, Black American or African American",Male,29.79705548,-95.36763856
41,Cal State Fullerton,"Fullerton, California",07/12/76,School,California State University,Close,random,terrorism,"On July 12, 1976, a 37-year-old custodian at California State University in Fullerton open fired in the library's first-floor lobby and at the building's Instructional Media Center killing seven people and wounding two others. ",-999,one,7,2,9,0,37,1,California State University,Yes,"White, White American or European American",Male,33.88404244,-117.92785
42,Electromagnetic Systems Laboratory (ESL),"Sunnyvale, California",02/16/88,Former Workplace,ESL in Sunnyvale,Open+Close,Ex-Coworkers,revenge,"On February 16, 1988, a 39-year-old man arrived at his former workplace, ESL in Sunnyvale, California, and began shooting his ex-coworkers in the parking lot. After shooting through the security mechanisms on the doors of the facility, he opened fire on office equipment and employees, including a female colleague that issued a restraining order against the shooter about a week prior. The incident ended with seven fatalities and four injuries, the female coworker among the injured.",-999,one,7,4,11,0,39,0,-999,Yes,"White, White American or European American",Male,37.38344257,-122.0256185
43,Wedgwood Baptist Church,"Fort Worth, Texas",09/15/99,Church,Church,Close,random,terrorism,"steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",committed suicide,one,7,7,14,0,47,-999,-999,Yes,"White, White American or European American",Male,32.74802142,-97.31305148
44,Xerox killings,"Honolulu, Hawaii",11/02/99,Current Workplace,Workplace,Close,random,-999,"Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police.",arrested,one,7,0,7,0,40,1,Xerox Service Technician,Yes,Asian or Asian American,Male,21.3255125,-157.8473055
45,Edgewater Technology,"Wakefield, Massachusetts",12/26/00,Current Workplace,Edgewater Technology,Close,Coworkers,-999,"Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested. / On December 26, 2000, a 42-year-old computer technician at Edgewater Technology in Wakefield, Massachusetts entered his office and began shooting at managers and coworkers, killing seven before he was arrested. He claimed he was sent as a time-traveler to kill Nazis, and his insanity plea was denied.",arrested,one,7,0,7,0,42,1,Edgewater Technology,Yes,"White, White American or European American",Male,42.506484,-71.0728306
46,Lockheed Martin shooting,"Meridian, Mississippi",07/08/03,Current Workplace,Workplace,Close,random,racism,"On July 8, 2003, a 48-year-old factory worker at Lockheed Martin in Meridian, Mississippi was attending a diversity training workshop mandated by his employer before excusing himself. Minutes later, he returned to the meeting and began shooting at his coworkers, killing six and wounding eight more before killing himself. The shooting was thought to have been racially motivated.",committed suicide,one,7,8,15,-999,48,-999,-999,Yes,"White, White American or European American",Male,32.38455246,-88.68967949
47,Living Church of God,"Brookfield, Wisconsin",03/12/05,Church,Church,Close,random,frustration,"On March 12, 2005, a 44-year-old computer technician about to lose his job in Brookfield, Wisconsin opened fire on a congregation at the Living Church of God, killing the minister, six others and wounding four more before committing suicide.",committed suicide,one,7,4,11,0,44,-999,-999,No,"White, White American or European American",Male,43.06396691,-88.12299758
48,Goleta Post Office,"Goleta, California",01/30/06,Former Workplace,Goleta Post Office,Close,Coworkers,psycho,"On January 30, 2006, a 44-year-old postal worker on leave for psychological reasons killed her former neighbor before arriving to the Goleta Post Office where she worked in Goleta, California. She then opened fire on her coworkers, killing six before committing suicide.",committed suicide,one,7,0,7,0,44,1,Goleta Post Office,Yes,"White, White American or European American",Female,34.43606107,-119.8593619
49,Capitol Hill massacre,"Seattle, Washington",03/25/06,Neighborhood,Capitol Hill neighborhood of Seattle,-999,random,drunk,"Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide. / On March 25, 2006, an unemployed 28-year old went to a rave after party in a residential house in Capitol Hill, a neighborhood in Seattle, Washington. The gunman shot and killed six people and injured two more before committing suicide.",committed suicide,one,7,2,9,0,28,-999,-999,No,"White, White American or European American",Male,47.6229,-122.3165
50,Residences in Grand Rapids,"Grand Rapids, Michigan",07/07/11,Home + Public Area,-999,Open+Close,Ex-Wife & Family,psycho,"On July 7, 2011, a 34-year old man went to two homes on a shooting rampage, killing his estranged wife, their daughter, his former girlfriend, and members of the victims' families. The shooter kept shooting at random as he fled by car and followed and shot another ex-girlfriend while she was driving on her car. The gunman was chased by police that forced him to exit his vehicle and ran on foot, entering a random residence where he took three hostages. He ended releasing the hostages and committing suicide.",committed suicide,one,7,2,9,0,34,-999,-999,Yes,"Black, Black American or African American",Male,42.96920434,-85.66008902
51,Oikos University killings,"Oakland, California",04/02/12,School,Nursing Classroom,Close,random,terrorism,"One L. Goh, 43, a former student, opened fire in a nursing classroom. He fled the scene by car and was arrested nearby a few hours later.",arrested,one,7,3,10,0,43,-999,-999,Yes,Asian or Asian American,Male,37.8043808,-122.2708166
52,Hialeah apartment shooting,"Hialeah, Florida",07/26/13,Neighborhood,Apartment Complex,Close,random,terrorism,"Pedro Vargas, 42, set fire to his apartment, killed six people in the complex, and held another two hostages at gunpoint before a SWAT team stormed the building and fatally shot him.",killed,one,7,0,7,0,42,-999,-999,No,Latino,Male,25.8670105,-80.29146268
53,Tyrone,"Houston, Missouri",02/26/15,Home,Home,Close,Family,psycho,"Late night on February 26, a man entered the home of two of his cousins and shot them. Their daughter escaped the home and called the police. The shooter proceeded to four other nearby residences, killing two more of his cousins and three other acquaintances. The shooter then drove to another county and killed himself in his car. The shooter's mother, who lived with the shooter, was found dead from lung cancer in her home.",committed suicide,one,7,1,8,0,-999,-999,-999,No,"White, White American or European American",Male,37.204442,-91.876583
54,Odessa-Midland shooting spree,"Odessa, Texas",08/31/19,Public area,Other,-999,-999,-999,"Seth A. Ator, 36, fired at police officers who stopped him for a traffic violation, and then went on a driving rampage in the Odessa-Midland region, where he also shot a postal worker and stole her vehicle. He was shot dead by law enforcement responding to the rampage. Ator had been fired from a job just prior to the attack (though per the FBI he had shown up to that job ""already enraged""). He had a criminal record and ""a long history of mental problems and making racist comments,"" according to a family friend who spoke to the media.",killed,one,7,25,32,-999,36,-999,-999,yes,"White, White American or European American",Male,31.925974,-102.2796
55,Ianni's Club in Dallas,"Dallas, Texas",06/29/84,"Bar, Club",lanni's dance club,Close,random,revenge,"On June 29, 1984, a 39-year-old man who was rejected by a dance partner at Ianni's Dance Club in Dallas, Texas, left the club and returned with a semiautomatic pistol killing the woman and five other patrons and seriously wounded a seventh person. ",-999,one,6,1,7,0,39,-999,-999,Yes,"White, White American or European American",Male,32.79480596,-96.76631094
56,Palm Bay Shopping Centers,"Palm Bay, Florida",04/23/87,Public area,Other,Open,random,psycho,"On April 23, 1987, a 59-year-old retired librarian in Palm Bay, Florida began a shooting spree in his neighborhood, where he shot and injured several of his neighbors. He continued the shooting at two local shopping centers, killing a total of four civilians and two police officers, and injuring nine others.",-999,one,6,14,20,0,59,-999,-999,Yes,"White, White American or European American",Male,27.98388983,-80.66662713
57,Long Island Rail Road Commuter Train,"Garden City, New York",12/07/93,Public Transportation,Train,Close,random,psycho,"On December 7, 1993,Colin Ferguson, a 34-year-old mentally unstable man boarded a Lond Island Rail Road commuter train headed to Nassau County in New York. He began shooting in the train car, killing six and wounding nineteen before being apprehended by three passengers in the train.",-999,one,6,19,25,0,34,-999,-999,No,"Black, Black American or African American",Male,40.72662266,-73.644712
58,Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",02/09/96,Workplace,-999,-999,Ex-Coworkers,revenge,"Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide.",committed suicide,one,6,1,7,0,41,0,-999,Yes,"Black, Black American or African American",Male,26.1223084,-80.1433786
59,Windy City Core Supply Warehouse,"Chicago, Illinois",08/27/03,Current Workplace,Warehouse,Close,Coworkers,unemployement,"On August 27, 2003, a 36-year-old former employee of Windy City Core Supply in Chicago, Illinois arrived at the warehouse in which he used to work and began shooting at the supervisors that fired him and other coworkers, killing six. He was later killed in a shoot-out with the police.",killed,one,6,0,6,0,36,0,-999,No,Other,Male,41.83928045,-87.68818145
60,"Birchwood, Wisconsin","Birchwood, Wisconsin",11/21/04,Public area,forests of Birchwood,Open,hunters,anger,"On November 21, 2004, a 36-year-old man hunting with companions in the forests of Birchwood, Wisconsin, encountered a group of hunters and began arguing with them over a deer stand that had apparently been on private land. He then opened fire on the hunters as a result of the confrontation, killing six and wounding two others before being arrested five hours later.",arrested,one,6,2,8,0,36,-999,-999,No,Asian or Asian American,Male,45.65773714,-91.55077175
